region,region_type,year,access,pcnt
Eastern and South-Eastern Asia,SDG,2006,safe,72.51
Eastern and South-Eastern Asia,SDG,2006,basic,13.1
Eastern and South-Eastern Asia,SDG,2006,limited,1
Eastern and South-Eastern Asia,SDG,2006,unimproved,10.9
Eastern and South-Eastern Asia,SDG,2006,surface,2.49
Eastern and South-Eastern Asia,SDG,2007,safe,73.19
Eastern and South-Eastern Asia,SDG,2007,basic,13.26
Eastern and South-Eastern Asia,SDG,2007,limited,1.02
Eastern and South-Eastern Asia,SDG,2007,unimproved,10.21
Eastern and South-Eastern Asia,SDG,2007,surface,2.32
Eastern and South-Eastern Asia,SDG,2008,safe,73.86
Eastern and South-Eastern Asia,SDG,2008,basic,13.42
Eastern and South-Eastern Asia,SDG,2008,limited,1.03
